item_code,food_name,n,Food name and description,Density in g/ml (including mass and bulk density),Specific gravity,BiblioID,
401,FRESH UNPACKETED COW MILK / FR,13590,"Milk, cow, whole",1.04,,KEN,
507,COOKING OIL (SALAD),12090,"Cooking oil, elianto oil, salad, golden fry, rina",0.88,,KEN,
1203,SODAS,4215,"Soft drinks, cola type",,1.04,UK 6th,
402,FRESH PACKETED COW MILK,2281,"Milk, cow, whole",1.04,,KEN,
410,MILK SOUR - UNPACKETED MALA,2064,"Sour milk, cow, whole",0.98,,KEN,
405,GOAT MILK,1906,"Milk, goat, whole",1.08,,FNDDS 4.1,
1201,MINERAL WATER,1138,"Water, mineralwater",1.037496988,,DK,
1702,TRADITIONAL BEER,1005,"Beer, local (non specific)",0.96,,KEN,
404,UHT- LONG LIFE MILK,1000,"Milk, cow, whole",1.04,,KEN,
1701,"BEER (LAGERS,STOUTS)",867,"Beer, commercial (white cap etc.)",0.97,,KEN,
1505,CHANG'AA,859,"Spirits, 45% alcohol (whiskey)",0.939,,DK,
411,YOGHURT,822,"Yoghurt, plain, unsweetened",1.06,,FNDDS 4.1,
409,MILK SOUR - PACKETED MALA,645,"Sour milk, cow, whole",0.98,,KEN,
1205,FRUIT JUICE,607,Fruit juice,1.06,,FNDDS 4.1,
406,CAMEL MILK,453,average density of camel milk,1.029 ,," Al haj & Al Kanhal, 2010",https://doi.org/10.1016/j.idairyj.2010.04.003
907,HONEY,320, honey,1.5,,"Kassa & Ayalew, 2025",https://doi.org/10.1016/j.jfca.2025.107923
1303,HOTEL AND RESTAURANT BEVERAGES,287,,,,,
1202,SQUASHES,249,"Guava nectar, canned",1.02,1.02,USDA,
1003,TOMATO SAUCE,216,Tomato soup,1.017,,S&W,
1501,VODKA,170,"Spirits, 45% alcohol (whiskey)",0.939,,DK,
1506,OTHER SPIRITS,168,"Spirits, 45% alcohol (whiskey)",0.939,,DK,
1504,BRANDY,166,Brandy,,1.04,CG,
1204,ENERGY/HEALTH DRINK,117,"Sports drink, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",1.03,1.03,USDA,
1703,OTHER BEERS,116,"Beer, type bitter or brown ale",,1.008,UK 6th,
1004,CHILLI SAUCE,107,"Sauce, soy",1.12,,FNDDS 4.1,
403,FRESH FLAVOURED PACKETED COW M,105,"Milk, chocolate milk, skimmed",1.056,,DK,
508,FORTIFIED COOKING FAT,88,Solid vegetable fat kimbo,0.6,,KEN,
1502,WHISKY,82,"Spirits, 45% alcohol (whiskey)",0.939,,DK,
1601,"WINE (E.G. CIDER, KING FISHER",70,"Cider, sweet",,1.012,UK 6th,
506,COOKING FAT,60,Solid vegetable fat kimbo,0.6,,KEN,
1010,VINEGAR,31,"Wine, table, white, Semillon",1,1,USDA,
502,GHEE,25,"Butter, margarine",0.96,,RC,
905,JAM,24,Jam ,1.333,,S&W,
509,LARD (FROM BUTCHERIES),20,Animal fat,0.7,,KEN,
1206,VEGETABLE JUICE,17,Fruit juice drinks,,1.04,UK 6th,
1602,SPARKLING WINES E.G.CHAMPAGNE,13,"Wine, table, white, Sauvignon Blanc",0.99,0.99,USDA,
1301,HOTEL AND RESTAURANT PREPARED,11,,,,,
1207,OTHER DRINKS,9,"Carbonated beverage, tonic water",1.02,1.02,USDA,
414,OTHER,8,,,,,
503,MARGARINE,7,"Butter, margarine",0.96,,RC,
1105,"OTHER COFFEE, TEA AND COCOA",7,"Coffee, brewed",1,,FNDDS 4.1,
1603,FORTIFIED WINES,6,"Sherry, medium",,0.998,UK 6th,
129,BEANS,5,"Kidney beans, dry, raw",0.75,,KEN,
407,CONDENSED/POWDER MILK,5,Milk (powdered whole),0.56,,ASI,
1014,OTHER FOOD N.E.C/ SPICES,5,,,,,
1305,OTHER HOTEL FOODS,5,,,,,
1503,RUM,5,"Spirits, 45% alcohol (whiskey)",0.939,,DK,
123,MIXED PORRIDGE FLOUR,4,"Porridge flour bonavist, boiled",0.73,,KEN,
501,BUTTER,4,,,,,
510,OTHER OILS AND FATS,4,Animal fat,0.7,,KEN,
901,SUGAR CANE,4,,,,,
1302,CAFE AND TAKE-AWAYS: PREPARED,4,,,,,
601,RIPE BANANAS,3,,,,,
902,SUGAR,3,,,,,
1001,COMMON SALT,3,,,,,
1102,TEA LEAVES,3,,,,,
1401,FOOD FROM CANTEEN/KIOSKS,3,,,,,
1402,FOOD FROM VENDORS,3,,,,,
124,FORTIFIED PORRIDGE FLOUR,2,,,,,
125,SOYA FLOUR,2,,,,,
145,WHITE BREAD,2,,,,,
209,TINNED /PACKETED SOUPS (MEAT),2,,,,,
408,BABY MILK - TINNED,2,Milk (powdered whole),0.56,,ASI,
604,AVOCADO,2,,,,,
607,PASSION,2,,,,,
617,COCONUT,2,,,,,
702,ONION - BULBS,2,,,,,
707,KALE-SUKUMA WIKI,2,,,,,
713,TRADITIONAL VEGETABLES,2,,,,,
1002,MAGADI (SODIUM BICARBONATE),2,,,,,
1005,"FOOD SEASONING (E.G. ROYCO, KN",2,,,,,
1009,PICKLES,2,,,,,
1103,COCOA AND COCOA PRODUCTS,2,,,,,
1304,HOTEL AND RESTAURANT CAKES AND,2,,,,,
102,NON AROMATIC (UNBROKEN) WHITE,1,,,,,
105,MAIZE GRAIN - LOOSE,1,,,,,
108,MAIZE FLOUR - LOOSE,1,,,,,
114,WHEAT FLOUR-WHITE,1,,,,,
202,BEEF - WITHOUT BONES,1,,,,,
602,ORANGES,1,,,,,
603,PAW PAWS,1,,,,,
605,MANGOES,1,,,,,
613,GRAPE FRUIT,1,,,,,
623,OTHER FRUITS/BERRIES,1,,,,,
701,ONION -LEEKS,1,,,,,
705,TOMATOES,1,,,,,
716,CAPSICUMS (PILIPILI HOHO),1,,,,,
801,POTATOES (IRISH),1,,,,,
906,MARMALADE,1,,,,,
1008,MUSTARD,1,,,,,
1104,SOYA DRINK,1,,,,,
1403,OTHER KIOSK/CANTEEN EXPENSES,1,,,,,
1904,GLUE,1,,,,,
